Order_ID,Date,Racer_ID,Branch_ID,Product_ID,Quantity
ORD02304,2023-04-04 11:43:04,422310,2149,16102,6
ORD02304,2023-04-04 11:43:04,422310,2149,93763,3
ORD02304,2023-04-04 11:43:04,422310,2149,12200,8
ORD02304,2023-04-04 11:43:04,422310,2149,14499,2
ORD02304,2023-04-04 11:43:04,422310,2149,43827,3
ORD02305,2020-03-19 22:25:36,104468,4346,64045,7
ORD02305,2020-03-19 22:25:36,104468,4346,83969,5
ORD02305,2020-03-19 22:25:36,104468,4346,86820,10
ORD02306,2019-06-09 21:47:24,512269,7859,86820,7
ORD02306,2019-06-09 21:47:24,512269,7859,83744,5
ORD02307,2023-06-27 18:36:21,151238,2149,48467,5
ORD02307,2023-06-27 18:36:21,151238,2149,93763,1
ORD02308,2017-01-09 03:32:29,422707,4950,45222,10
ORD02308,2017-01-09 03:32:29,422707,4950,33483,6
ORD02308,2017-01-09 03:32:29,422707,4950,42745,4
ORD02308,2017-01-09 03:32:29,422707,4950,54262,4
ORD02309,2020-11-02 00:55:04,54445,7859,93104,8
ORD02309,2020-11-02 00:55:04,54445,7859,54131,1
ORD02309,2020-11-02 00:55:04,54445,7859,12693,4
ORD02310,2019-10-24 00:50:42,350097,4950,76557,3
ORD02310,2019-10-24 00:50:42,350097,4950,46212,1
ORD02310,2019-10-24 00:50:42,350097,4950,36736,10
ORD02311,2018-12-02 13:01:50,561310,2149,16776,7
ORD02311,2018-12-02 13:01:50,561310,2149,90038,10
ORD02311,2018-12-02 13:01:50,561310,2149,99912,10
ORD02311,2018-12-02 13:01:50,561310,2149,54262,3
ORD02311,2018-12-02 13:01:50,561310,2149,76803,4
ORD02312,2020-07-10 10:28:55,104539,7859,13748,9
ORD02312,2020-07-10 10:28:55,104539,7859,13561,9
ORD02313,2018-08-04 15:35:17,194364,4950,20965,7
ORD02313,2018-08-04 15:35:17,194364,4950,64045,5
ORD02313,2018-08-04 15:35:17,194364,4950,76557,1
ORD02313,2018-08-04 15:35:17,194364,4950,12200,7
ORD02313,2018-08-04 15:35:17,194364,4950,43827,1
ORD02314,2020-12-28 12:58:18,6190176,4346,70713,4
ORD02315,2015-09-22 08:06:27,54371,4950,80313,4
ORD02316,2019-12-21 19:58:20,54445,2149,39299,7
ORD02316,2019-12-21 19:58:20,54445,2149,92798,9
ORD02316,2019-12-21 19:58:20,54445,2149,75318,5
ORD02316,2019-12-21 19:58:20,54445,2149,36309,10
ORD02316,2019-12-21 19:58:20,54445,2149,75318,10
ORD02317,2019-07-13 10:17:46,54005,2149,65766,9
ORD02317,2019-07-13 10:17:46,54005,2149,99912,10
ORD02317,2019-07-13 10:17:46,54005,2149,18571,6
ORD02317,2019-07-13 10:17:46,54005,2149,76803,8
ORD02317,2019-07-13 10:17:46,54005,2149,36309,9
ORD02318,2019-09-15 04:28:36,512182,7859,64384,3
ORD02318,2019-09-15 04:28:36,512182,7859,90038,1
ORD02319,2019-02-22 03:35:05,512408,4950,32299,3
ORD02320,2017-06-21 18:38:02,202762,4950,52107,2
ORD02320,2017-06-21 18:38:02,202762,4950,32399,4
ORD02320,2017-06-21 18:38:02,202762,4950,88069,9
ORD02321,2017-10-09 16:24:55,54628,4346,58925,6
ORD02321,2017-10-09 16:24:55,54628,4346,69150,10
ORD02321,2017-10-09 16:24:55,54628,4346,75733,5
ORD02321,2017-10-09 16:24:55,54628,4346,16655,5
ORD02321,2017-10-09 16:24:55,54628,4346,13748,3
ORD02322,2024-08-15 08:48:13,6190176,2149,99789,1
ORD02323,2021-09-21 09:31:15,990081,2149,88069,6
ORD02324,2016-07-15 07:57:27,194298,4950,13748,10
ORD02324,2016-07-15 07:57:27,194298,4950,90038,10
ORD02324,2016-07-15 07:57:27,194298,4950,29830,2
ORD02324,2016-07-15 07:57:27,194298,4950,60015,5
ORD02325,2020-08-09 00:52:19,422278,4346,62921,3
ORD02325,2020-08-09 00:52:19,422278,4346,69150,2
ORD02325,2020-08-09 00:52:19,422278,4346,42745,9
ORD02326,2018-10-09 04:54:55,194364,7859,58925,6
ORD02326,2018-10-09 04:54:55,194364,7859,46212,2
ORD02326,2018-10-09 04:54:55,194364,7859,70713,5
ORD02326,2018-10-09 04:54:55,194364,7859,16910,9
ORD02326,2018-10-09 04:54:55,194364,7859,54064,1
ORD02326,2018-10-09 04:54:55,194364,7859,62921,1
ORD02327,2017-10-08 00:20:47,6293445,7859,12200,6
ORD02327,2017-10-08 00:20:47,6293445,7859,42745,5
ORD02327,2017-10-08 00:20:47,6293445,7859,69735,5
ORD02328,2019-07-28 20:13:08,194364,7859,86820,3
ORD02328,2019-07-28 20:13:08,194364,7859,52107,4
ORD02328,2019-07-28 20:13:08,194364,7859,64045,1
ORD02329,2023-02-13 07:38:25,501987,4346,54262,6
ORD02329,2023-02-13 07:38:25,501987,4346,69735,2
ORD02330,2016-02-29 04:29:29,512269,4950,48467,1
ORD02330,2016-02-29 04:29:29,512269,4950,93763,7
ORD02330,2016-02-29 04:29:29,512269,4950,42606,2
ORD02330,2016-02-29 04:29:29,512269,4950,16655,3
ORD02330,2016-02-29 04:29:29,512269,4950,64384,2
